Characterization,,
,charge distribution ,
,,pulsed electroacoustic method 
,,unspecified charge distribution 
,chromatography ,
,,critical and supercritical chromatography 
,,gas-phase chromatography 
,,ion chromatography 
,,liquid-phase chromatography 
,,unspecified chromatography 
,dilatometry ,
,electrochemical ,
,,amperometry 
,,potentiometry 
,,voltammetry 
,,unspecified electrochemical 
,mechanical ,
,,compression tests 
,,creep tests 
,,dynamic mechanical analysis 
,,fatigue testing 
,,hardness testing 
,,in-situ testing 
,,nanoindentation 
,,shear or torsion tests 
,,tension tests 
,,wear tests 
,,unspecified mechanical 
,microscopy ,
,,analytical electron microscopy 
,,atomic force microscopy 
,,confocal microscopy 
,,electron probe microanalysis 
,,environmental scanning electron microscopy 
,,field emission electron probe 
,,optical microscopy 
,,photoluminescence microscopy 
,,scanning Auger electron microscopy 
,,scanning Kelvin probe 
,,scanning electron microscopy 
,,scanning probe microscopy 
,,scanning tunneling microscopy 
,,transmission electron microscopy 
,,x-ray optical interferometry 
,,unspecified microscopy 
,optical ,
,,differential refractive index 
,,dynamic light scattering 
,,ellipsometry 
,,fractography 
,,light scattering 
,,quasi-elastic light scattering 
,,unspecified optical 
,osmometry ,
,,freezing point depression osmometry 
,,membrane osmometry 
,,vapor pressure depression osmometry 
,,unspecified osmometry 
,profilometry ,
,scattering and diffraction ,
,,XRD grazing incidence 
,,electron backscatter diffraction 
,,neutron [elastic] 
,,neutron [inelastic] 
,,small angle x-ray scattering 
,,small-angle neutron scattering 
,,synchrotron 
,,x-ray diffraction 
,,x-ray reflectivity 
,,x-ray topography 
,,unspecified scattering and diffraction 
,spectrometry ,
,,IR/FTIR spectrometry 
,,alpha spectrometry 
,,energy dispersive x-ray spectrometry 
,,gamma spectrometry 
,,ion mobility spectrometry 
,,mass spectrometry 
,,secondary ion mass spectrometry 
,,x-ray flourescence spectrometry 
,,unspecified spectrometry 
,spectroscopy ,
,,EXAFS 
,,Fourier-transform infrared spectroscopy 
,,NEXAFS 
,,Nuclear Magnetic Resonance 
,,Raman spectroscopy 
,,XPS variable kinetic 
,,dielectric and impedance spectroscopy 
,,dynamic mechanical spectroscopy 
,,electron energy-loss spectroscopy 
,,neutron spin echo spectroscopy 
,,x-ray absorption spectroscopy 
,,x-ray emission spectroscopy 
,,x-ray photoelectron spectroscopy 
,,unspecified spectroscopy 
,thermochemical ,
,,calorimetry 
,,differential scanning calorimetry 
,,differential thermal analysis 
,,microcalorimetry 
,,thermogravimetry 
,,unspecified thermochemical 
,tomography ,
,,atom probe tomography 
,,x-ray tomography 
,,unspecified tomography 
,ultrasonic ,
,viscometry ,
Synthesis,,
,annealing and homogenization ,
,,aging
,,dry blending
,,homogenization
,,mechanical mixing
,,melt mixing
,,normalizing
,,recrystallization
,,stress relieving
,,tempering
,,twin screw extrusion
,,ultrasonication
,,unspecified annealing and homogenization
,casting ,
,,centrifugal casting 
,,continuous casting 
,,die casting 
,,investment casting 
,,sand casting 
,,slip casting 
,,vacuum arc melting 
,,unspecified casting 
,deposition and coating ,
,,Langmuir-Blodgett film deposition 
,,atomic layer deposition 
,,carbon evaporation coating 
,,chemical vapor deposition 
,,electrodeposition 
,,electron beam deposition 
,,evaporation 
,,gold-sputter coating 
,,ink-jet deposition 
,,ion beam deposition 
,,physical vapor deposition 
,,plasma spraying 
,,pulsed laser deposition 
,,solvent casting 
,,spin coating 
,,splatter 
,,sputter coating 
,,unspecified deposition and coating 
,forming ,
,,cold rolling 
,,compression molding 
,,drawing 
,,extrusion 
,,forging 
,,hot pressing 
,,hot rolling 
,,injection molding 
,,milling 
,,rotational molding 
,,vacuum molding 
,,unspecified forming 
,,fractionation 
,mechanical and surface ,
,,doctor blade or blade coating 
,,focused ion beam 
,,joining 
,,lithography 
,,polishing 
,,sectioning 
,,thermal plasma processing 
,,unspecified mechanical and surface 
,powder processing ,
,,atomization 
,,ball milling 
,,centrifugal disintegration 
,,hot pressing 
,,sintering 
,,sponge iron process 
,,unspecified powder processing 
,quenching ,
,,air cooled / quench 
,,brine quench 
,,furnace cooled 
,,gas cooled 
,,ice quench 
,,liquid nitrogen quench 
,,oil quench 
,,water quench 
,,unspecified quenching 
,reactive ,
,,addition polymerization 
,,condensation polymerization 
,,curing 
,,dissolving / etching 
,,drying 
,,in-situ polymerization 
,,post-polymerization modification 
,,reductive roasting 
,,solution processing 
,,unspecified reactive 
,self-assembly ,
,,micelle formation 
,,monolayer formation 
,,self-assembly-assisted grafting 
,,unspecified self-assembly 
,solidification ,
,,crystallization 
,,directional solidification 
,,precipitation 
,,rapid solidification 
,,seeded solidification 
,,single crystal solidification 
,,zone refining 
,,unspecified solidification 
